Fecha,Institución,Pacientes,Positivos,En_estudio
21/03/2020,SSJ,0,0,0
21/03/2020,HCG,0,0,2
22/03/2020,SSJ,0,0,1
22/03/2020,HCG,0,0,0
22/03/2020,ISSSTE,0,0,0
23/03/2020,SSJ,0,0,0
23/03/2020,HCG,0,0,0
23/03/2020,ISSSTE,0,0,0
24/03/2020,SSJ,0,0,0
24/03/2020,HCG,0,0,0
24/03/2020,ISSSTE,0,0,0
25/03/2020,SSJ,0,0,0
25/03/2020,HCG,0,0,0
25/03/2020,ISSSTE,0,0,0
26/03/2020,SSJ,0,0,0
26/03/2020,HCG,0,0,0
26/03/2020,ISSSTE,0,0,0
27/03/2020,SSJ,0,0,0
27/03/2020,HCG,0,0,0
27/03/2020,ISSSTE,0,0,0
27/03/2020,Privados,0,0,0
28/03/2020,SSJ,0,0,0
28/03/2020,HCG,0,0,0
28/03/2020,ISSSTE,0,0,0
28/03/2020,IMSS,0,0,0
28/03/2020,Privados,0,0,0
29/03/2020,SSJ,0,0,0
29/03/2020,HCG,0,0,0
29/03/2020,ISSSTE,0,0,0
29/03/2020,IMSS,0,0,0
29/03/2020,Privados,0,0,0
30/03/2020,SSJ,0,0,0
30/03/2020,HCG,0,0,0
30/03/2020,ISSSTE,0,0,0
30/03/2020,IMSS,0,0,0
30/03/2020,Privados,0,0,0
31/03/2020,SSJ,0,0,0
31/03/2020,HCG,0,0,0
31/03/2020,ISSSTE,0,0,0
31/03/2020,IMSS,0,0,0
31/03/2020,Privados,0,0,0
01/04/2020,SSJ,0,0,0
01/04/2020,HCG,0,0,0
01/04/2020,ISSSTE,0,0,0
01/04/2020,IMSS,0,0,0
01/04/2020,Privados,0,0,0
02/04/2020,SSJ,0,0,0
02/04/2020,HCG,0,0,0
02/04/2020,ISSSTE,0,0,0
02/04/2020,IMSS,0,0,0
02/04/2020,Privados,0,0,0
03/04/2020,SSJ,0,0,0
03/04/2020,HCG,0,0,0
03/04/2020,ISSSTE,0,0,0
03/04/2020,IMSS,0,0,0
03/04/2020,Privados,0,0,0
04/04/2020,SSJ,0,0,0
04/04/2020,HCG,0,0,0
04/04/2020,ISSSTE,0,0,0
04/04/2020,IMSS,0,0,0
04/04/2020,Privados,0,0,0
05/04/2020,SSJ,0,0,0
05/04/2020,HCG,0,0,0
05/04/2020,ISSSTE,0,0,0
05/04/2020,IMSS,0,0,0
05/04/2020,Privados,0,0,0
06/04/2020,SSJ,0,0,0
06/04/2020,HCG,0,0,0
06/04/2020,ISSSTE,0,0,0
06/04/2020,IMSS,0,0,0
06/04/2020,Privados,0,0,0
07/04/2020,SSJ,0,0,0
07/04/2020,HCG,0,0,0
07/04/2020,ISSSTE,0,0,0
07/04/2020,IMSS,0,0,0
07/04/2020,Privados,0,0,0
08/04/2020,SSJ,0,0,0
08/04/2020,HCG,0,0,0
08/04/2020,ISSSTE,0,0,0
08/04/2020,IMSS,0,0,0
08/04/2020,Privados,0,0,0
09/04/2020,SSJ,0,0,0
09/04/2020,HCG,0,0,0
09/04/2020,ISSSTE,0,0,0
09/04/2020,IMSS,0,0,0
09/04/2020,Privados,0,0,0
10/04/2020,SSJ,0,0,0
10/04/2020,HCG,0,0,0
10/04/2020,ISSSTE,0,0,0
10/04/2020,IMSS,0,0,0
10/04/2020,Privados,0,0,0
11/04/2020,SSJ,0,0,0
11/04/2020,HCG,0,0,0
12/04/2020,SSJ,0,0,0
12/04/2020,HCG,0,0,0
12/04/2020,Privados,0,0,0
13/04/2020,SSJ,0,0,0
13/04/2020,HCG,0,0,0
13/04/2020,Privados,0,0,0
14/04/2020,SSJ,0,0,0
14/04/2020,HCG,0,0,0
14/04/2020,Privados,0,0,0
15/04/2020,SSJ,0,0,0
15/04/2020,HCG,0,0,0
15/04/2020,IMSS,0,0,0
15/04/2020,Privados,0,0,0
16/04/2020,SSJ,0,0,0
16/04/2020,HCG,0,0,0
16/04/2020,ISSSTE,0,0,0
16/04/2020,IMSS,0,0,0
16/04/2020,Privados,0,0,0
17/04/2020,SSJ,0,0,0
17/04/2020,HCG,0,0,0
17/04/2020,ISSSTE,0,0,0
17/04/2020,IMSS,0,0,0
17/04/2020,Privados,0,0,0
18/04/2020,SSJ,0,0,0
18/04/2020,HCG,0,0,0
18/04/2020,ISSSTE,0,0,0
18/04/2020,IMSS,0,0,0
18/04/2020,Privados,0,0,0
